[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 0
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 7 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 1
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 2
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 8 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 5
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 6
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 7 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 7 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 7
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
